G4SGD;IO92;1351;292
2E0FQT;IO93;1379;296
G0LUB;IO92;1351;292
UR4MSF;KN98;1624;86
R4AAV;LN28;2062;86
UA3IHJ;KO67;1464;45
G7JWY;IO92;1351;292
EA5FSJ;IM98;1826;234
LB5MG;JP50;1389;344
EA3IBA;JN01;1480;240
EA4GA;IN80;1817;243
M6DHV;IO84;1537;298
LB8MG;JO59;1284;343
M0TBQ;IO82;1485;290
2E0FQT;IO93;1379;296
G0LUB;IO92;1351;292
F6CEE;IN94;1450;255
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
EA5FSJ;IM98;1826;234
LB5MG;JP50;1389;344
EA3IBA;JN01;1480;240
EA1AHY;IN73;1789;255
M6DHV;IO84;1537;298
G4SGD;IO92;1351;292
LB8MG;JO59;1284;343
UC6KFQ;KN74;1450;105
R1BDX;KO59;1525;35
G0LUB;IO92;1351;292
F6CEE;IN94;1450;255
MI0OBC;IO74;1662;297
OH4NDU;KP11;1494;14
UA1WFH;KO46;1205;41
G7JWY;IO92;1351;292
EA5CBT;IM97;1904;231
EA5FSJ;IM98;1826;234
EA2HK;IN91;1615;243
LB5MG;JP50;1389;344
EA3IBA;JN01;1480;240
EA1AHY;IN73;1789;255
M6DHV;IO84;1537;298
LB8MG;JO59;1284;343
M0CLS;IO84;1537;298
UC6KFQ;KN74;1450;105
R1BDX;KO59;1525;35
G0LUB;IO92;1351;292
UR4MSF;KN98;1624;86
MI0OBC;IO74;1662;297
G1MHU;IO93;1379;296
EA5CBT;IM97;1904;231
EA2HK;IN91;1615;243
EA1AHY;IN73;1789;255
CT2HUN;IM58;2366;245
M6DHV;IO84;1537;298
LB8MG;JO59;1284;343
M0CLS;IO84;1537;298
UC6KFQ;KN74;1450;105
R1BDX;KO59;1525;35
UX7UW;KO50;1039;75
G0LUB;IO92;1351;292
M0CSD;IO94;1414;301
UR4MSF;KN98;1624;86
R4AAV;LN28;2062;86
OH4NDU;KP11;1494;14
G1MHU;IO93;1379;296
UA3IHJ;KO67;1464;45
CT2HUN;IM58;2366;245
M6DHV;IO84;1537;298
MI0OBC;IO74;1662;297
LB8MG;JO59;1284;343
M0TBQ;IO82;1485;290
M0CLS;IO84;1537;298
UC6KFQ;KN74;1450;105
MM0HVU;IO85;1574;302
UX7UW;KO50;1039;75
G0LUB;IO92;1351;292
M0CSD;IO94;1414;301
UR4MSF;KN98;1624;86
OH4NDU;KP11;1494;14
G1MHU;IO93;1379;296
MI0OBC;IO74;1662;297
LB8MG;JO59;1284;343
M0TBQ;IO82;1485;290
M0CLS;IO84;1537;298
UC6KFQ;KN74;1450;105
MM0HVU;IO85;1574;302
M0CSD;IO94;1414;301
OH4NDU;KP11;1494;14
EA2HK;IN91;1615;243
LB5MG;JP50;1389;344
MI0OBC;IO74;1662;297
M0CLS;IO84;1537;298
MM0HVU;IO85;1574;302
M0CSD;IO94;1414;301
UT5UOD;KO50;1039;75
LB8MG;JO59;1284;343
OH4NDU;KP11;1494;14
EA2HK;IN91;1615;243
EA5CBT;IM97;1904;231
2E0FQT;IO93;1379;296
LB5MG;JP50;1389;344
UA3IHJ;KO67;1464;45
UC6KFQ;KN74;1450;105
M0CSD;IO94;1414;301
UT5UOD;KO50;1039;75
G7JWY;IO92;1351;292
EA2HK;IN91;1615;243
UT4USA;KO50;1039;75
2E0FQT;IO93;1379;296
LB5MG;JP50;1389;344
G8BCG;IO70;1607;281
UA3IHJ;KO67;1464;45
EA5CBT;IM97;1904;231
MI0OBC;IO74;1662;297
LB8MG;JO59;1284;343
UC6KFQ;KN74;1450;105
R1BDX;KO59;1525;35
G0LUB;IO92;1351;292
M0CSD;IO94;1414;301
UT5UOD;KO50;1039;75
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G1MHU;IO93;1379;296
G7JWY;IO92;1351;292
EA5CBT;IM97;1904;231
UA6JCJ;LN23;2230;100
F5JUS;JN14;1163;249
G8BCG;IO70;1607;281
UA3IHJ;KO67;1464;45
MI0OBC;IO74;1662;297
UC6KFQ;KN74;1450;105
R1BDX;KO59;1525;35
G0LUB;IO92;1351;292
UT5UOD;KO50;1039;75
F4EFZ;JN17;1052;266
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G1MHU;IO93;1379;296
G7JWY;IO92;1351;292
UA6JCJ;LN23;2230;100
G8BCG;IO70;1607;281
UA3IHJ;KO67;1464;45
MI0OBC;IO74;1662;297
UC6KFQ;KN74;1450;105
UR4MSF;KN98;1624;86
OH5KZ;KP30;1480;25
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G1MHU;IO93;1379;296
G7JWY;IO92;1351;292
F5JUS;JN14;1163;249
G8BCG;IO70;1607;281
MI0OBC;IO74;1662;297
UC6KFQ;KN74;1450;105
M0TXS;IO92;1351;292
R4AAV;LN28;2062;86
M0CSD;IO94;1414;301
UR4MSF;KN98;1624;86
OH5KZ;KP30;1480;25
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G7JWY;IO92;1351;292
UT4USA;KO50;1039;75
LB5MG;JP50;1389;344
G8BCG;IO70;1607;281
M0TXS;IO92;1351;292
R4AAV;LN28;2062;86
M0CSD;IO94;1414;301
UR4MSF;KN98;1624;86
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G7JWY;IO92;1351;292
LB5MG;JP50;1389;344
M6PNP;IO81;1471;286
M0TXS;IO92;1351;292
UR4MSF;KN98;1624;86
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G7JWY;IO92;1351;292
EA5CBT;IM97;1904;231
LB5MG;JP50;1389;344
M6PNP;IO81;1471;286
UA6JCJ;LN23;2230;100
G8BCG;IO70;1607;281
RA3ZK;KO81;1471;74
MI0OBC;IO74;1662;297
UT5UOD;KO50;1039;75
M0TXS;IO92;1351;292
MM0HVU;IO85;1574;302
UT3GP;KN66;1226;98
UR4MSF;KN98;1624;86
OH4NDU;KP11;1494;14
F4HKV;JN33;954;235
G1MHU;IO93;1379;296
G7JWY;IO92;1351;292
EA5CBT;IM97;1904;231
LB5MG;JP50;1389;344
M6PNP;IO81;1471;286
G8BCG;IO70;1607;281
UT5UOD;KO50;1039;75
R1BDX;KO59;1525;35
RZ3OA;KO91;1610;75
UT3GP;KN66;1226;98
OH4NDU;KP11;1494;14
G1MHU;IO93;1379;296
LB5MG;JP50;1389;344
M6PNP;IO81;1471;286
EA2HK;IN91;1615;243
UR4MSF;KN98;1624;86
M0TXS;IO92;1351;292
M0TBQ;IO82;1485;290
UT5UOD;KO50;1039;75
R1BDX;KO59;1525;35
RZ3OA;KO91;1610;75
UT3GP;KN66;1226;98
PD7RF;JO22;961;299
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
RU6UR;LN36;2262;91
HA7SC;JN97;186;126
F5SDD;JN23;1083;240
F5SDD;JN23;1083;240
F5SDD;JN23;1083;240
EA3KU;JN00;1550;237
F5SDD;JN23;1083;240
EA3KU;JN00;1550;237
F5SDD;JN23;1083;240
RU6UR;LN36;2262;91
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
RU6UR;LN36;2262;91
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
F5SDD;JN23;1083;240
RU6UR;LN36;2262;91
F5SDD;JN23;1083;240
SV1JG;KM18;1213;157
RU6UR;LN36;2262;91
F5SDD;JN23;1083;240
F5SDD;JN23;1083;240
RA6WF;LN32;2425;102
F5SDD;JN23;1083;240
RU6UR;LN36;2262;91
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
OE3KLU;JN88;0;0
OE3KLU;JN88;0;0
RU6UR;LN36;2262;91
OE3KLU;JN88;0;0
RU6UR;LN36;2262;91
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
UT5XR;KN49;886;81
IZ1YUP;JN35;831;248
UT5XR;KN49;886;81
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
IZ1YUP;JN35;831;248
IZ1YUP;JN35;831;248
IA0VJR;BH54;16186;189
RU6UR;LN36;2262;91
OE3KLU;JN88;0;0
IZ1YUP;JN35;831;248
EA3KU;JN00;1550;237
EA3KU;JN00;1550;237
EA3KU;JN00;1550;237
EA3KU;JN00;1550;237
RU6UR;LN36;2262;91
RU6UR;LN36;2262;91
IK2WRV;JN45;695;242
RZ7RCP;KN64;1306;108
IK2WRV;JN45;695;242
ON3AZ;JO10;1039;285
UR0MC;KN99;1612;83
UT5ED;KN78;1330;87
IK2WRV;JN45;695;242
M1HAX;IO81;1471;286
UR0MC;KN99;1612;83
DJ3JD;JO52;616;317
SV5DKL;KM46;1656;143
UT7ZA;KN57;1052;94
M1HAX;IO81;1471;286
IZ5ILD;JN53;725;220
UR0MC;KN99;1612;83
DJ3JD;JO52;616;317
SV5DKL;KM46;1656;143
ON7USB;JO10;1039;285
IZ5ILD;JN53;725;220
UR0MC;KN99;1612;83
UT9LB;KN89;1467;82
UT5ED;KN78;1330;87
SM3LBN;JP80;1334;0
DJ3JD;JO52;616;317
SV5DKL;KM46;1656;143
ON7USB;JO10;1039;285
M1HAX;IO81;1471;286
RU6BL;KN96;1670;94
UR0MC;KN99;1612;83
RZ7RCP;KN64;1306;108
DL3LP;JO41;664;301
DJ3JD;JO52;616;317
SV5DKL;KM46;1656;143
M1HAX;IO81;1471;286
IZ5ILD;JN53;725;220
RU6BL;KN96;1670;94
UR0MC;KN99;1612;83
UT4UQ;KO50;1039;75
SV5DKL;KM46;1656;143
UT7ZA;KN57;1052;94
